0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
0,7.834,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7.834,0
0,6.60631,9.53084,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9.53084,6.60631,0
0,5.80884,8.99901,9.89838,10,10,10,10,10,10,10,10,10,10,10,10,9.89838,8.99901,5.80884,0
0,5.24163,8.50282,9.72559,9.97799,10,10,10,10,10,10,10,10,10,10,9.97799,9.72559,8.50282,5.24163,0
0,4.81267,8.0613,9.51541,9.92809,9.99523,10,10,10,10,10,10,10,10,9.99523,9.92809,9.51541,8.0613,4.81267,0
0,4.4739,7.67261,9.28983,9.85324,9.98172,9.99897,10,10,10,10,10,10,9.99897,9.98172,9.85324,9.28983,7.67261,4.4739,0
0,4.19769,7.33006,9.06158,9.75904,9.95763,9.99546,9.99978,10,10,10,10,9.99978,9.99546,9.95763,9.75904,9.06158,7.33006,4.19769,0
0,3.96694,7.02663,8.8376,9.65098,9.92281,9.9882,9.99889,9.99995,10,10,9.99995,9.99889,9.9882,9.92281,9.65098,8.8376,7.02663,3.96694,0
0,3.77042,6.75615,8.62151,9.53367,9.87808,9.97634,9.99679,9.99972,9.99998,9.99998,9.99972,9.99679,9.97634,9.87808,9.53367,8.62151,6.75615,3.77042,0
0,3.60042,6.51342,8.41499,9.41064,9.82471,9.95943,9.99294,9.99909,9.99987,9.99987,9.99909,9.99294,9.95943,9.82471,9.41064,8.41499,6.51342,3.60042,0
0,3.45143,6.2942,8.2186,9.2845,9.76403,9.93734,9.98685,9.99776,9.99953,9.99953,9.99776,9.98685,9.93734,9.76403,9.2845,8.2186,6.2942,3.45143,0
0,3.31942,6.09497,8.03228,9.15711,9.69732,9.91014,9.9781,9.99539,9.99876,9.99876,9.99539,9.9781,9.91014,9.69732,9.15711,8.03228,6.09497,3.31942,0
0,3.2013,5.91286,7.85563,9.02976,9.62568,9.87803,9.9664,9.99165,9.9973,9.9973,9.99165,9.9664,9.87803,9.62568,9.02976,7.85563,5.91286,3.2013,0
0,3.09474,5.74548,7.68806,8.90333,9.55005,9.84129,9.9515,9.98618,9.99485,9.99485,9.98618,9.9515,9.84129,9.55005,8.90333,7.68806,5.74548,3.09474,0
0,2.99787,5.59084,7.52891,8.77839,9.47119,9.8002,9.93326,9.97867,9.99109,9.99109,9.97867,9.93326,9.8002,9.47119,8.77839,7.52891,5.59084,2.99787,0
0,2.90923,5.44727,7.37753,8.6553,9.38976,9.75508,9.91159,9.96883,9.98571,9.98571,9.96883,9.91159,9.75508,9.38976,8.6553,7.37753,5.44727,2.90923,0
0,2.82762,5.31339,7.23325,8.53426,9.30625,9.70622,9.88644,9.95643,9.9784,9.9784,9.95643,9.88644,9.70622,9.30625,8.53426,7.23325,5.31339,2.82762,0
0,2.75206,5.18802,7.09548,8.41538,9.22109,9.65392,9.85782,9.94127,9.96888,9.96888,9.94127,9.85782,9.65392,9.22109,8.41538,7.09548,5.18802,2.75206,0
0,2.68177,5.07015,6.96366,8.29871,9.13462,9.59845,9.82578,9.9232,9.95692,9.95692,9.9232,9.82578,9.59845,9.13462,8.29871,6.96366,5.07015,2.68177,0
0,2.61608,4.95895,6.83726,8.18423,9.04713,9.54007,9.79038,9.90211,9.94232,9.94232,9.90211,9.79038,9.54007,9.04713,8.18423,6.83726,4.95895,2.61608,0
0,2.55443,4.85368,6.71585,8.07192,8.95886,9.47903,9.75173,9.87793,9.9249,9.9249,9.87793,9.75173,9.47903,8.95886,8.07192,6.71585,4.85368,2.55443,0
0,2.49635,4.75372,6.59899,7.96172,8.87001,9.41557,9.70993,9.85062,9.90455,9.90455,9.85062,9.70993,9.41557,8.87001,7.96172,6.59899,4.75372,2.49635,0
0,2.44146,4.65855,6.48634,7.85358,8.78074,9.34991,9.66512,9.82019,9.88119,9.88119,9.82019,9.66512,9.34991,8.78074,7.85358,6.48634,4.65855,2.44146,0
